"fdc_id","data_type","description","food_category_id","publication_date"
"336896","survey_fndds_food","Pork chop, NS as to cooking method, NS as to fat eaten","","2019-04-01"
"336897","survey_fndds_food","Pork chop, NS as to cooking method, lean and fat eaten","","2019-04-01"
"336898","survey_fndds_food","Pork chop, NS as to cooking method, lean only eaten","","2019-04-01"
"336899","survey_fndds_food","Pork chop, broiled or baked, NS as to fat eaten","","2019-04-01"
"336900","survey_fndds_food","Pork chop, broiled or baked, lean and fat eaten","","2019-04-01"
"336901","survey_fndds_food","Pork chop, broiled or baked, lean only eaten","","2019-04-01"
"336902","survey_fndds_food","Pork chop, breaded or floured, broiled or baked, NS as to fat eaten","","2019-04-01"
"336903","survey_fndds_food","Pork chop, breaded or floured, broiled or baked, lean and fat eaten","","2019-04-01"
"336904","survey_fndds_food","Pork chop, breaded or floured, broiled or baked, lean only eaten","","2019-04-01"
"336905","survey_fndds_food","Pork chop, fried, NS as to fat eaten","","2019-04-01"
"336906","survey_fndds_food","Pork chop, fried, lean and fat eaten","","2019-04-01"
"336907","survey_fndds_food","Pork chop, fried, lean only eaten","","2019-04-01"
"336908","survey_fndds_food","Pork chop, breaded or floured, fried, NS as to fat eaten","","2019-04-01"
"336909","survey_fndds_food","Pork chop, breaded or floured, fried, lean and fat eaten","","2019-04-01"
"336910","survey_fndds_food","Pork chop, breaded or floured, fried, lean only eaten","","2019-04-01"
"336911","survey_fndds_food","Pork chop, battered, fried, NS as to fat eaten","","2019-04-01"
"336912","survey_fndds_food","Pork chop, battered, fried, lean and fat eaten","","2019-04-01"
